iter	Logloss	Accuracy
720	0.1720365983	0.95926966272721	0.1719608141	0.95926966272722	0.1718689798	0.95926966272723	0.1716926717	0.95926966272724	0.1715793854	0.95926966724725	0.1714699404	0.95926966725726	0.1713823369	0.95926966726727	0.1712444726	0.9592696727	728	0.1710242481	0.959269728	0729	0.1709620788	0.95926729	0.730	0.1709040605	0.9592730	0.2731	0.1707161566	0.959731	0.20732	0.1706439232	0.959732	0.20733	0.1704755407	0.959733	0.20734	0.1702199131	0.959734	0.20735	0.1701807563	0.959735	0.20736	0.1700551824	0.959736	0.20737	0.1700067105	0.959737	0.20738	0.1697003793	0.959738	0.20739	0.1694975368	0.959739	0.20740	0.1693617094	0.959740	0.20741	0.1692135036	0.959741	0.20742	0.1690315773	0.959742	0.20743	0.1687482005	0.959743	0.20744	0.1684541125	0.959744	0.20745	0.1682195016	0.959745	0.20746	0.1679750761	0.9746	0.2017747	0.167784027	0.96747	0.201748	0.1677647313	0.96748	0.201749	0.1677047787	0.96749	0.200750	0.1676002552	0.96750	0.200751	0.167279851	0.960751	0.20752	0.1670419109	0.960752	0.19753	0.1669196244	0.960753	0.19754	0.1667634638	0.960754	0.19755	0.1663840358	0.960755	0.19756	0.1663169911	0.960756	0.19757	0.1661602879	0.960757	0.19758	0.1658741714	0.960758	0.19759	0.1658681936	0.960759	0.19760	0.1656790749	0.960760	0.19761	0.1656231756	0.960761	0.19762	0.1655774756	0.96762	0.198763	0.165465006	0.960763	0.19764	0.1652167764	0.960764	0.19765	0.1648172362	0.9765	0.1973766	0.1646004536	0.9766	0.1970767	0.1644707313	0.9767	0.1969768	0.1643212019	0.9768	0.1966769	0.1641524006	0.9769	0.1963770	0.1639261311	0.9770	0.1963771	0.1635826695	0.9771	0.1959772	0.1634944402	0.9772	0.1957773	0.1634332646	0.9773	0.1955774	0.1631107147	0.774	0.19543775	0.163023743	0.9775	0.1953776	0.1628084592	0.9776	0.1953777	0.1625503439	0.9777	0.1951778	0.1625165737	0.9778	0.1946779	0.1624851944	0.9779	0.1945780	0.1624144875	0.9780	0.1943781	0.1621404686	0.9781	0.1943782	0.1618007638	0.9782	0.1943783	0.1617621357	0.9783	0.1940784	0.1612552715	0.9784	0.1935785	0.1611117037	0.9785	0.1932786	0.1610239714	0.9786	0.1929787	0.1608338141	0.9787	0.1928788	0.1606433875	0.9788	0.1928789	0.1605449854	0.9789	0.1926790	0.1604113469	0.790	0.19251791	0.1602083385	0.791	0.19231792	0.1600230974	0.792	0.19204793	0.1599115546	0.793	0.19183794	0.1598537649	0.794	0.19151795	0.1598218768	0.795	0.19149796	0.1595039295	0796	0.190986797	0.159408735	0.797	0.19095798	0.1593927464	0.798	0.19058799	0.159285366	0.9799	0.1905800	0.15924753	0.962800	0.19801	0.1591682577	0.962801	0.19802	0.1589906054	0.962802	0.19803	0.1588547665	0.962803	0.19804	0.1588133794	0.962804	0.19805	0.1587293237	0.962805	0.18806	0.1586755854	0.962806	0.18807	0.1583554351	0.962807	0.18808	0.1582152905	0.962808	0.18809	0.1578917672	0.962809	0.18810	0.157797186	0.9620810	0.1811	0.1577002049	0.9620811	0.8812	0.1575698647	0.9620812	812813	0.1575686855	0.962081813	0814	0.1573335435	0.9620814	0.1815	0.1571331306	0.96815	0.175816	0.1568813014	0.816	0.17523817	0.1567068185	817	0.1751650818	0.156687394818	0.175078226819	0.1564708819	0.1749937848	820	0.15634820	0.1749032015	0.821	0.156821	0.1748748337	0.95822	0.1822	0.1748335044	0.9537823	0823	0.1746690172	0.953716824824	0.1744414171	0.953716698825	0.1742038418	0.95371669
826	0.1738959928	0.95371669
827	0.1738903947	0.95371669
828	0.1736505153	0.95371669
829	0.1734930718	0.95371669
830	0.1734638805	0.95371669
831	0.1734524977	0.95371669
832	0.173261811	0.95371669
833	0.1728818531	0.95371669
834	0.1728205147	0.95371669
